Season,Team,TeamsByYear,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2021,WSN,2021WSN,182,724,686,56,0.094,0.213,0.159,0.307,0.258,0.337,0.417,0.326,101,-25.4,-15.3,8.8,19.9
2021,MIL,2021MIL,194,738,700,82,0.096,0.24,0.163,0.283,0.233,0.317,0.396,0.31,92,8.5,-52.2,37.1,19
2021,PHI,2021PHI,198,734,700,77,0.093,0.23,0.168,0.286,0.24,0.318,0.408,0.313,93,7.8,-46,27.4,18.6
2021,CHC,2021CHC,210,705,672,86,0.084,0.267,0.171,0.296,0.237,0.312,0.407,0.311,94,-8.6,-58,28.7,17.2
2021,CIN,2021CIN,222,786,756,36,0.09,0.231,0.182,0.296,0.249,0.328,0.431,0.327,97,-15.1,-40.3,-2.2,16.5
2021,NYY,2021NYY,222,711,666,63,0.102,0.245,0.169,0.285,0.237,0.322,0.407,0.317,101,-15.1,-4.5,-37.5,16.4
2021,CLE,2021CLE,203,717,686,109,0.077,0.235,0.169,0.282,0.238,0.303,0.407,0.306,93,7.4,-42.1,3.8,16.3
2021,KCR,2021KCR,163,686,647,124,0.07,0.21,0.147,0.292,0.249,0.306,0.396,0.304,88,13.2,-72.5,0.5,13.2
2021,SEA,2021SEA,199,697,673,64,0.089,0.248,0.159,0.273,0.226,0.303,0.385,0.3,94,-7.1,-53.9,-28,12.3
2021,MIA,2021MIA,158,623,594,106,0.076,0.262,0.139,0.296,0.233,0.298,0.372,0.291,83,0.4,-130.7,52.2,12.1
2021,TEX,2021TEX,167,625,598,106,0.073,0.232,0.143,0.28,0.232,0.294,0.375,0.291,83,-1.8,-124.2,40.9,11.9
2021,LAA,2021LAA,190,723,691,79,0.077,0.232,0.162,0.294,0.245,0.31,0.407,0.308,93,6.8,-43.7,-45.4,11.6
2021,COL,2021COL,182,739,709,76,0.082,0.226,0.165,0.299,0.249,0.317,0.414,0.315,81,12.4,-133.5,44.3,11.3
2021,ARI,2021ARI,144,679,644,43,0.087,0.238,0.146,0.295,0.236,0.309,0.382,0.301,85,6.6,-113.2,15.7,10.9
2021,DET,2021DET,179,697,675,88,0.082,0.253,0.158,0.3,0.242,0.308,0.399,0.306,94,1.2,-41.2,-57.3,10.5
2021,PIT,2021PIT,124,609,570,60,0.088,0.222,0.128,0.29,0.236,0.309,0.364,0.294,82,-3.9,-143.4,14.1,7.2
2021,BAL,2021BAL,195,659,632,54,0.075,0.243,0.163,0.29,0.239,0.304,0.402,0.305,91,-6.2,-75.5,-62.2,6.6
2020,CHW,2020CHW,96,306,294,20,0.079,0.252,0.192,0.314,0.261,0.326,0.453,0.334,111,-0.5,30.6,7.9,13.5
2020,SDP,2020SDP,95,325,312,55,0.091,0.215,0.209,0.291,0.257,0.333,0.466,0.341,116,2.1,48.9,6,13.4
2020,LAD,2020LAD,118,349,327,29,0.098,0.203,0.227,0.276,0.256,0.338,0.483,0.35,120,-5.1,54.7,-5,13.2
2020,ATL,2020ATL,103,348,338,23,0.102,0.244,0.215,0.322,0.268,0.349,0.483,0.355,120,3.7,63,3.1,12.5
2020,NYM,2020NYM,86,286,278,20,0.086,0.219,0.187,0.32,0.272,0.348,0.459,0.347,123,-11.1,55.1,-11.2,10.2
2020,NYY,2020NYY,94,315,301,27,0.114,0.217,0.2,0.28,0.247,0.342,0.447,0.341,117,6,51.9,-8.8,9.9
2020,MIN,2020MIN,91,269,258,14,0.086,0.244,0.186,0.283,0.242,0.315,0.427,0.319,103,0.4,8.4,-2.4,9.9
2020,SFG,2020SFG,81,299,290,19,0.086,0.221,0.187,0.311,0.263,0.335,0.451,0.337,112,-3.2,30.8,-12.9,9.9
2020,TBR,2020TBR,80,289,274,48,0.107,0.269,0.187,0.3,0.238,0.328,0.425,0.325,111,5.6,35.1,4,9.7
2020,OAK,2020OAK,71,274,264,26,0.108,0.238,0.171,0.271,0.225,0.322,0.396,0.314,103,6.4,14.5,-9.7,8.4
2020,CHC,2020CHC,74,265,248,24,0.103,0.257,0.167,0.27,0.22,0.318,0.387,0.309,92,4.7,-18.2,2,7.9
2020,CLE,2020CLE,59,248,234,25,0.106,0.23,0.144,0.277,0.228,0.317,0.372,0.303,90,-1.2,-28.3,5.5,7.4
2020,STL,2020STL,51,240,231,18,0.102,0.237,0.137,0.29,0.234,0.323,0.371,0.306,93,-0.7,-17.4,4.9,7.4
2020,BOS,2020BOS,81,292,278,31,0.081,0.237,0.18,0.321,0.265,0.33,0.445,0.333,105,-0.5,14,-0.3,7.3
2020,LAA,2020LAA,85,294,285,21,0.104,0.212,0.182,0.284,0.248,0.332,0.43,0.329,106,-3.5,14.9,-26.3,7.2
2020,KCR,2020KCR,68,248,237,49,0.078,0.24,0.158,0.297,0.244,0.309,0.402,0.308,90,3.1,-23.2,-0.8,7.1
2020,PHI,2020PHI,82,306,289,35,0.103,0.216,0.183,0.299,0.257,0.342,0.439,0.336,108,3.3,27,-22.1,6.3
2020,HOU,2020HOU,69,279,268,22,0.086,0.197,0.168,0.273,0.24,0.312,0.408,0.311,97,-0.6,-9.8,-13,5.8
2020,ARI,2020ARI,58,269,255,23,0.081,0.206,0.15,0.282,0.241,0.312,0.391,0.306,88,5.5,-29.5,5,5.7
2020,SEA,2020SEA,60,254,244,50,0.095,0.25,0.144,0.281,0.226,0.309,0.37,0.298,92,7,-15.4,-9,5.5
2020,DET,2020DET,62,249,242,19,0.071,0.273,0.152,0.314,0.245,0.303,0.397,0.303,92,-2.3,-23.3,-13.2,5.4
2020,TOR,2020TOR,88,302,288,33,0.09,0.224,0.186,0.297,0.255,0.325,0.441,0.329,104,-2.9,7.8,-16.7,5
2020,MIL,2020MIL,75,247,238,15,0.101,0.266,0.166,0.278,0.223,0.313,0.389,0.307,90,-17.6,-46,-1.5,4.8
2020,WSN,2020WSN,66,293,279,33,0.087,0.203,0.17,0.308,0.264,0.336,0.433,0.33,104,-3.6,9,-24.6,4.3
2020,BAL,2020BAL,77,274,264,19,0.073,0.229,0.171,0.309,0.258,0.321,0.429,0.323,102,-4.1,1.2,-23,3.7
2020,CIN,2020CIN,90,243,237,29,0.113,0.252,0.191,0.245,0.212,0.312,0.403,0.312,87,-6,-42.2,-13.9,3.7
2020,MIA,2020MIA,60,263,247,51,0.088,0.248,0.141,0.306,0.244,0.319,0.384,0.308,93,4,-15,-18.2,2.4
2020,COL,2020COL,63,275,264,42,0.071,0.241,0.148,0.316,0.257,0.311,0.405,0.307,76,10.8,-58.9,-6.2,1.8
2020,PIT,2020PIT,59,219,210,16,0.078,0.244,0.137,0.268,0.22,0.284,0.357,0.279,72,-2.3,-79.8,0.5,1.5
2020,TEX,2020TEX,62,224,204,49,0.078,0.255,0.147,0.266,0.217,0.285,0.364,0.283,76,3,-59.6,-17.5,0.2
2019,HOU,2019HOU,288,920,891,67,0.101,0.182,0.221,0.296,0.274,0.352,0.495,0.355,124,-9.5,187.8,15.1,42.1
2019,LAD,2019LAD,279,886,861,57,0.097,0.216,0.215,0.291,0.257,0.338,0.472,0.338,110,11.9,92.5,59.1,34.2
2019,MIN,2019MIN,307,939,906,28,0.082,0.209,0.224,0.3,0.27,0.338,0.494,0.347,116,-8.4,125.4,-31.1,31.6
2019,NYY,2019NYY,306,943,904,55,0.091,0.23,0.222,0.306,0.267,0.339,0.49,0.346,117,-0.8,132.5,-40.5,30.8
2019,WSN,2019WSN,231,873,824,116,0.093,0.209,0.19,0.306,0.265,0.342,0.454,0.336,104,3.7,34.7,57.9,28.4
2019,BOS,2019BOS,245,901,857,68,0.091,0.213,0.197,0.313,0.269,0.34,0.466,0.338,106,-7,41.7,12.1,27.9
2019,ATL,2019ATL,249,855,824,89,0.098,0.233,0.195,0.305,0.258,0.336,0.452,0.332,101,11,18.3,64.4,27.6
2019,OAK,2019OAK,257,845,800,49,0.092,0.213,0.199,0.282,0.249,0.327,0.448,0.327,107,-1.7,55.3,-10.4,26.3
2019,TBR,2019TBR,217,769,730,94,0.086,0.238,0.178,0.306,0.254,0.325,0.431,0.321,104,8.4,40.6,0.5,26
2019,CHC,2019CHC,256,814,783,45,0.094,0.236,0.2,0.297,0.252,0.331,0.452,0.33,100,-2.2,0.6,65.3,25.6
2019,NYM,2019NYM,242,791,767,56,0.082,0.22,0.185,0.299,0.257,0.328,0.442,0.325,105,-17,24.3,28.1,24.6
2019,ARI,2019ARI,220,813,778,88,0.086,0.215,0.182,0.293,0.252,0.323,0.434,0.319,93,18.3,-37.5,79.1,23.6
2019,MIL,2019MIL,250,769,744,101,0.1,0.248,0.192,0.296,0.246,0.329,0.438,0.324,97,5.9,-20.4,61.6,23.6
2019,CLE,2019CLE,223,769,731,103,0.092,0.218,0.183,0.289,0.25,0.323,0.432,0.319,97,4.3,-16.3,35.9,23.4
2019,STL,2019STL,210,764,714,116,0.091,0.23,0.17,0.292,0.245,0.322,0.415,0.314,95,14.4,-23.8,57.4,22.4
2019,PHI,2019PHI,215,774,742,78,0.09,0.232,0.181,0.293,0.246,0.319,0.427,0.314,90,13.8,-65.6,49.6,17.9
2019,SEA,2019SEA,239,758,730,115,0.095,0.255,0.187,0.287,0.237,0.316,0.424,0.314,99,13.4,4.2,-49,17.4
2019,LAA,2019LAA,220,769,734,65,0.094,0.204,0.175,0.281,0.247,0.324,0.422,0.316,96,-6.1,-41.1,-8.3,17.1
2019,PIT,2019PIT,163,758,722,64,0.068,0.195,0.156,0.309,0.265,0.321,0.42,0.313,92,-4.6,-72.8,5.6,12.8
2019,TOR,2019TOR,247,726,697,51,0.084,0.249,0.192,0.28,0.236,0.305,0.428,0.31,92,-7,-66.5,-31.9,11.8
2019,COL,2019COL,224,835,803,71,0.078,0.239,0.19,0.321,0.265,0.326,0.456,0.328,87,1.6,-105,25.8,11.8
2019,CHW,2019CHW,182,708,676,63,0.063,0.256,0.153,0.329,0.261,0.314,0.414,0.309,92,5.3,-59.6,-42.3,11.3
